title,image_url,video_url,instructions,teaching_points,position,starting_zone,ending_zone,situation,hockey_skills,complexity
CHECKING SKILLS – STICK CHECKS – STATIONARY SWEEP CHECK,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_stick_checks_Stationary_sweep_check.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players in circle facing each other – offensive player stickhandles
    puck, defensive player is in front and ready to sweep
    check puck; Top hand on the stick, the shaft of the blade lays flat on the
    ice; Sweeping motion of the stick to the side to knock the puck
    off the offensive players’ stick",Stay balanced and off toes of skates; Time sweep check when puck is moving from side to side,[],Unknown,Unknown,[],['Stickhandling'],Intermediate
CHECKING SKILLS – STICK CHECKS – STICK ON PUCK,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_stick_checks_stick_on_puck.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Pucks and players in faceoff circle.; Coach dumps puck into corner, player on inside skates
    towards corner and retrieves puck.; Player on outside, must take proper path and angle to force
    the puck carrier up the boards so the puck can be turned
    over; Must match speed of offensive player, stick on stick ( stick on
    puck ) and be in a position so the puck carrier cannot turn
    back the other way","Control Skate, take proper pathway; Stick on Puck, force puck carrier into poor position so puck
    can be taken away",[],Unknown,Unknown,['Defensive Play'],"['Skating', 'Stickhandling', 'Positioning', 'Angling']",Intermediate
SKILLS TESTING - FORWARD WEAVE AGILITY SKATE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skills_testing_agility_weave_without_puck.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Start at the blue line, skate forward towards the far pylon
    and make a tight turn around first pylon. Weave back
    through the pylons, making a tight turn around the last
    pylon (closest to start line), and weave back through the
    pylons, making a tight turn around the last one. Sprint back
    to the blue line which is both the start and finish line.; The first pylon is 10 feet from blue line. (Starting point); Pylons are set 10 feet apart.",,['Forward'],Unknown,Unknown,[],['Skating'],Intermediate
SKILLS TESTING - AGILITY WEAVE - WITH PUCK,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skills_testing_agility_weave_with_puck.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Start at the blue line, skate forward towards the far pylon
    and make a tight turn around first pylon. Weave back
    through the pylons, making a tight turn around the last
    pylon (closest to start line), and weave back through the
    pylons, making a tight turn around the last one. Sprint back
    to the blue line which is both the start and finish line.; The first pylon is 10 feet from blue line. (Starting point); Pylons are set 10 feet apart.",,[],Unknown,Unknown,[],"['Skating', 'Stickhandling']",Intermediate
SKILLS TESTING - BACKWARD - SPEED SKATE - WITH PUCK,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skills_testing_bwd_speed_with_puck.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players skate as fast as they can skating in a straight line
    backwards with a puck; The distance is 100 feet.; Measure 100 feet starting at the goal line. Use spray paint to
    draw a line to indicate the finish line.",,[],Defensive Zone,Defensive Zone,[],"['Skating', 'Stickhandling']",Intermediate
SKILLS TESTING - BACKWARD - SPEED SKATE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skills_testing_bwd_speed_without_puck.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players skate as fast as they can skating in a straight line
    backwards without a puck; The distance is 100 feet.; Measure 100 feet starting at the goal line. Use spray paint to
    draw a line to indicate the finish line.; Complete first without a puck.",,[],Defensive Zone,Defensive Zone,[],['Skating'],Easy
SKILLS TESTING - FORWARD - SPEED SKATE – WITH PUCK,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skills_testing_fwd_speed_with_puck.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players skate as fast as they can straight ahead with a puck
    with a puck; The distance is 100 feet.; Measure 100 feet starting at the goal line. Use spray paint to
    draw a line to indicate the finish line.",,['Forward'],Unknown,Unknown,[],"['Skating', 'Stickhandling']",Easy
SKILLS TESTING - FORWARD - SPEED SKATE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skills_testing_fwd_speed_without_puck.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players skate as fast as they can straight ahead without a
    puck; The distance is 100 feet.; Measure 100 feet starting at the goal line. Use spray paint to
    draw a line to indicate the finish line.; Complete first without a puck.",,['Forward'],Unknown,Unknown,[],['Skating'],Easy
SKILLS TESTING - GOALTENDING - IRON CROSS – BUTTERFLY SLIDES,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skills_testing_goaltending_iron_cross_butterfly_slide.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"The Iron Cross is a timed drill with two separate tests. The
    forward and backward portions are the same, with the difference
    being the first one utilizes a shuffle to go sideways and
    the second one uses a Butterfly slide to go sideways. Goalie
    starts at bottom of the circle, and skates forward to the
    centre dot and then to one side then sideways back through
    the dot to the other side of the circle and back to the centre
    dot and back to the starting position where clock is stopped",,['Goalie'],Unknown,Unknown,[],['Skating'],Intermediate
SKILLS TESTING - GOALTENDING – LATERAL MOVEMENT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skills_testing_goaltending_iron_cross_lateral_slides.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"The Lateral Movement test is done by moving sideways 8 feet for 4 repetitions, while keeping the outside pad (slide pad ) on the ice the entire time ( over and back is counted as 1 repetition )",,['Goalie'],Unknown,Unknown,[],['Skating'],Intermediate
SKILLS TESTING - GOALTENDING - IRON CROSS – SHUFFLE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skills_testing_goaltending_iron_cross_shuffle.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"The Iron Cross is a timed drill with two separate tests. The
    forward and backward portions are the same, with the difference
    being the first one utilizes a shuffle to go sideways and
    the second one uses a Butterfly slide to go sideways. Goalie
    starts at bottom of the circle, and skates forward to the
    centre dot and then to one side then sideways back through
    the dot to the other side of the circle and back to the centre
    dot and back to the starting position where clock is stopped",,['Goalie'],Unknown,Unknown,[],['Skating'],Intermediate
SKILLS TESTING - TRANSITION - AGILITY SKATING – WITH PUCK,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skills_testing_transition_with_puck.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Each player starts on line at the bottom of circle. The player
    skates forward to far right side pylon, pivots and skates
    backwards to lower right side pylon.; The player then pivots and skates forward to far left side
    pylon, pivots and skates backwards to lower left side pylon.; The player then pivots and skates forward to designated
    line, stops, and then skates forward back to starting line.; Complete the test without a puck. Then complete the test
    with a puck.",,[],Unknown,Unknown,['Transition'],"['Skating', 'Stickhandling']",Intermediate
SKILLS TESTING - TRANSITION - AGILITY SKATING,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skills_testing_transition_without_puck.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Each player starts on line at the bottom of circle. The player
    skates forward to far right side pylon, pivots and skates
    backwards to lower right side pylon.; The player then pivots and skates forward to far left side
    pylon, pivots and skates backwards to lower left side pylon.; The player then pivots and skates forward to designated
    line, stops, and then skates forward back to starting line.; Complete the test without a puck. Then complete the test
    with a puck.",,[],Unknown,Unknown,['Transition'],['Skating'],Intermediate
INDIVIDUAL TACTICS – NZ REGROUP – READ AND SUPPORT 1 ON 1,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/individual_tactics_nz_read_and_support_1on1.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Defence on hashmarks in defensive zone. Fwds with pucks
    on wall at centre ice.; On whistle, defence tag up to blue line and Fwd skates
    toward D, and passes the puck to D once D is
    going backwards.; D slide towards boards or to middle of ice, Fwd has to read
    and support the D depending on which way the D turns,
    receives NZ breakout pass from D.; Fwd skates past red line then turns and regroups with a give
    and go to next player on wall and attacks D 1 on 1","Fwd wait for D to tag blue line and start going backwards
    before the pass.; D offer good target, get toes up ice before pass.; Jump up and close gap on Fwd on the regroup","['Defence', 'Forward']",Defensive Zone,Neutral Zone,['Breakout'],"['Skating', 'Passing', 'Reading', 'Supporting']",Intermediate
INDIVIDUAL TACTICS – NZ REGROUP – QUICK UP MIDDLE - 1 ON 1,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/individual_tactics_nz_regroup_quick_up_middle_1on1.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Defence on hashmarks in defensive zone. Fwds with pucks
    on wall at centre ice.; On whistle, defence tag up to blue line and Fwd skates
    toward D, and passes the puck to D once D is going
    backwards.; D slides towards boards, Fwd opens up in middle of ice and
    receives NZ breakout pass from D.; Fwd skates past red line then turns and regroups with a give
    and go to next player on wall and attacks D 1 on 1","Fwd wait for D to tag blue line and start going backwards
    before the pass.; D offer good target, get toes up ice before pass.; Jump up and close gap on Fwd on the regroup","['Defence', 'Forward']",Defensive Zone,Neutral Zone,"['Zone Entry', 'Transition']","['Passing', 'Skating']",Intermediate
INDIVIDUAL TACTICS – NZ REGROUP – QUICK UP WALL - 1 ON 1,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/individual_tactics_nz_regroup_quick_up_wall_1on1.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Defence on hashmarks in defensive zone. Fwds with pucks
    on wall at centre ice.; On whistle, defence tag up to blue line and Fwd skates
    toward D, and passes the puck to D once D is going
    backwards.; D slides towards middle of ice, Fwd opens up along boards
    and receives NZ breakout pass from D.; Fwd skates past red line then turns and regroups with a give
    and go to next player on wall and attacks D 1 on 1","Fwd wait for D to tag blue line and start going backwards
    before the pass.; D offer good target, get toes up ice before pass.; Jump up and close gap on Fwd on the regroup","['Defence', 'Forward']",Defensive Zone,Neutral Zone,"['Zone Entry', 'Transition']","['Passing', 'Skating']",Intermediate
